Survey,Date,Count,Value,Site,Station,Month,Analyte
CEMP,10/1/2023,96,8.42,ANH,D12A,10,DissolvedOxygen
CEMP,10/2/2023,96,8.42,ANH,D12A,10,DissolvedOxygen
CEMP,10/3/2023,96,8.42,ANH,D12A,10,DissolvedOxygen
CEMP,10/4/2023,96,8.36,ANH,D12A,10,DissolvedOxygen
CEMP,10/5/2023,95,8.31,ANH,D12A,10,DissolvedOxygen
CEMP,10/6/2023,96,8.31,ANH,D12A,10,DissolvedOxygen
CEMP,10/7/2023,96,8.26,ANH,D12A,10,DissolvedOxygen
CEMP,10/8/2023,96,8.25,ANH,D12A,10,DissolvedOxygen
CEMP,10/9/2023,96,8.29,ANH,D12A,10,DissolvedOxygen
CEMP,10/10/2023,96,8.25,ANH,D12A,10,DissolvedOxygen
CEMP,10/11/2023,96,8.44,ANH,D12A,10,DissolvedOxygen
CEMP,10/12/2023,96,8.48,ANH,D12A,10,DissolvedOxygen
CEMP,10/13/2023,96,8.47,ANH,D12A,10,DissolvedOxygen
CEMP,10/14/2023,96,8.5,ANH,D12A,10,DissolvedOxygen
CEMP,10/15/2023,96,8.53,ANH,D12A,10,DissolvedOxygen
CEMP,10/16/2023,96,8.59,ANH,D12A,10,DissolvedOxygen
CEMP,10/17/2023,96,8.6,ANH,D12A,10,DissolvedOxygen
CEMP,10/18/2023,96,8.57,ANH,D12A,10,DissolvedOxygen
CEMP,10/19/2023,95,8.61,ANH,D12A,10,DissolvedOxygen
CEMP,10/20/2023,96,8.72,ANH,D12A,10,DissolvedOxygen
CEMP,10/21/2023,96,8.75,ANH,D12A,10,DissolvedOxygen
CEMP,10/22/2023,96,8.71,ANH,D12A,10,DissolvedOxygen
CEMP,10/23/2023,96,8.68,ANH,D12A,10,DissolvedOxygen
CEMP,10/24/2023,96,8.71,ANH,D12A,10,DissolvedOxygen
CEMP,10/25/2023,96,8.74,ANH,D12A,10,DissolvedOxygen
CEMP,10/26/2023,96,8.92,ANH,D12A,10,DissolvedOxygen
CEMP,10/27/2023,96,9,ANH,D12A,10,DissolvedOxygen
CEMP,10/28/2023,96,9.09,ANH,D12A,10,DissolvedOxygen
CEMP,10/29/2023,96,9.25,ANH,D12A,10,DissolvedOxygen
CEMP,10/30/2023,96,9.25,ANH,D12A,10,DissolvedOxygen
CEMP,10/31/2023,96,9.24,ANH,D12A,10,DissolvedOxygen
CEMP,11/1/2023,96,9.21,ANH,D12A,11,DissolvedOxygen
CEMP,11/2/2023,96,9.16,ANH,D12A,11,DissolvedOxygen
CEMP,11/3/2023,96,9.14,ANH,D12A,11,DissolvedOxygen
CEMP,11/4/2023,96,9.16,ANH,D12A,11,DissolvedOxygen
CEMP,11/5/2023,96,9.14,ANH,D12A,11,DissolvedOxygen
CEMP,11/6/2023,96,9.1,ANH,D12A,11,DissolvedOxygen
CEMP,11/7/2023,96,9.19,ANH,D12A,11,DissolvedOxygen
CEMP,11/8/2023,96,9.3,ANH,D12A,11,DissolvedOxygen
CEMP,11/9/2023,96,9.35,ANH,D12A,11,DissolvedOxygen
CEMP,11/10/2023,96,9.36,ANH,D12A,11,DissolvedOxygen
CEMP,11/11/2023,96,9.34,ANH,D12A,11,DissolvedOxygen
CEMP,11/12/2023,96,9.3,ANH,D12A,11,DissolvedOxygen
CEMP,11/13/2023,96,9.29,ANH,D12A,11,DissolvedOxygen
CEMP,11/14/2023,96,9.25,ANH,D12A,11,DissolvedOxygen
CEMP,11/15/2023,96,9.18,ANH,D12A,11,DissolvedOxygen
CEMP,11/16/2023,96,9.12,ANH,D12A,11,DissolvedOxygen
CEMP,11/17/2023,96,9.05,ANH,D12A,11,DissolvedOxygen
CEMP,11/18/2023,96,9.02,ANH,D12A,11,DissolvedOxygen
CEMP,11/19/2023,96,9.26,ANH,D12A,11,DissolvedOxygen
CEMP,11/20/2023,96,9.49,ANH,D12A,11,DissolvedOxygen
CEMP,11/21/2023,96,9.54,ANH,D12A,11,DissolvedOxygen
CEMP,11/22/2023,96,9.56,ANH,D12A,11,DissolvedOxygen
CEMP,11/23/2023,96,9.57,ANH,D12A,11,DissolvedOxygen
CEMP,11/24/2023,96,9.68,ANH,D12A,11,DissolvedOxygen
CEMP,11/25/2023,96,9.76,ANH,D12A,11,DissolvedOxygen
CEMP,11/26/2023,96,9.75,ANH,D12A,11,DissolvedOxygen
CEMP,11/27/2023,96,9.75,ANH,D12A,11,DissolvedOxygen
CEMP,11/28/2023,96,9.77,ANH,D12A,11,DissolvedOxygen
CEMP,11/29/2023,96,9.75,ANH,D12A,11,DissolvedOxygen
CEMP,11/30/2023,96,9.8,ANH,D12A,11,DissolvedOxygen
CEMP,12/1/2023,96,9.99,ANH,D12A,12,DissolvedOxygen
CEMP,12/2/2023,96,10.07,ANH,D12A,12,DissolvedOxygen
CEMP,12/3/2023,96,10.06,ANH,D12A,12,DissolvedOxygen
