old,new
Station,Station
Date,Date
Time,Time
SampleDescription,SampleDescription
Flag,Flag
FlagDescription,FlagDescription
FieldNotes,FieldNotes
Weather,Weather
AirTemp,AirTemp
WindVelocity,WindVelocity
WindDirection,WindDirection
NorthLat,Latitude
WestLong,Longitude
Chla_Sign,Chlorophyll_Sign
Chla,Chlorophyll_Value
Pheophytin_Sign,Pheophytin_Sign
Pheophytin,Pheophytin_Value
TotAlkalinity_Sign,TotAlkalinity_Sign
TotAlkalinity,TotAlkalinity_Value
TotAmmonia_Sign,TotAmmonia_Sign
TotAmmonia,TotAmmonia_Value
DissAmmonia_Sign,DissAmmonia_Sign
DissAmmonia,DissAmmonia_Value
DissBromide_Sign,DissBromide_Sign
DissBromide,DissBromide_Value
DissCalcium_Sign,DissCalcium_Sign
DissCalcium,DissCalcium_Value
TotChloride_Sign,TotChloride_Sign
TotChloride,TotChloride_Value
DissChloride_Sign,DissChloride_Sign
DissChloride,DissChloride_Value
DissNitrateNitrite_Sign,DissNitrateNitrite_Sign
DissNitrateNitrite,DissNitrateNitrite_Value
DOC_Sign,DissOrganicCarbon_Sign
DOC,DissOrganicCarbon_Value
TOC_Sign,TotOrganicCarbon_Sign
TOC,TotOrganicCarbon_Value
DON_Sign,DON_Sign
DON,DON_Value
TON_Sign,TON_Sign
TON,TON_Value
DissOrthophos_Sign,DissOrthophos_Sign
DissOrthophos,DissOrthophos_Value
TotPhos_Sign,TotPhos_Sign
TotPhos,TotPhos_Value
DissSilica_Sign,DissSilica_Sign
DissSilica,DissSilica_Value
TDS_Sign,TDS_Sign
TDS,TDS_Value
TSS_Sign,TSS_Sign
TSS,TSS_Value
VSS_Sign,VSS_Sign
VSS,VSS_Value
TKN_Sign,TKN_Sign
TKN,TKN_Value
Depth,Depth
Secchi,Secchi
LightExtinction,LightExtinction
Microcystis,Microcystis_Surface
SpCndSurface,SpCnd_Surface
DOSurface,DissOxygen_Surface
DOpercentSurface,DissOxygenPercent_Surface
WaterTemp_Surface,WaterTemp_Surface
TurbiditySurface_FNU,Turbidity_Surface
TurbiditySurface_NTU,NA
pHSurface,pH_Surface
SpCndBottom,SpCnd_Bottom
DOBottom,DissOxygen_Bottom
DOpercentBottom,DissOxygenPercent_Bottom
WTBottom,WaterTemp_Bottom
TurbidityBottom_FNU,Turbidity_Bottom
TurbidityBottom_NTU,NA
pHBottom,pH_Bottom
