Station,DeviceType,Program
C2,Hydrolab MS5,USBR
C3A,YSI EXO2,EMP
C4,Hydrolab HL4,USBR
C5,Hydrolab MS5,USBR
C7A,YSI EXO2,EMP
C8,Hydrolab HL4,USBR
C10A,YSI EXO2,EMP
C14,Hydrolab HL4,USBR
D6A,YSI EXO2,EMP
D7A,YSI EXO2,EMP
D8A,YSI EXO2,EMP
D9A,YSI EXO2,EMP
D10A,YSI EXO2,EMP
D11A,YSI EXO2,EMP
D12A,YSI EXO2,EMP
D16A,YSI EXO2,EMP
D19A,YSI EXO2,EMP
D22,Hydrolab MS5,USBR
D24A,YSI EXO2,EMP
D29,YSI EXO2,EMP
DMC1,Hydrolab HL4,USBR
P8A,YSI EXO2,EMP
S21,YSI EXO2,SMWQP
S33,YSI EXO2,SMWQP
S35,YSI EXO2,SMWQP
S42,YSI EXO2,SMWQP
S49,YSI EXO2,SMWQP
S64,YSI EXO2,SMWQP
S71,YSI EXO2,SMWQP
