Station Acronym ,Station Name,Latitude,Longitude
ANH,San Joaquin River at Antioch,38.0178299,-121.8029633
FRK,Franks Tract Mid Tract,38.046417,-121.5981
GZL,Grizzly Bay at Dolphin near Suisun Slough,38.12425,-122.038117
HON,Honker Bay,38.0722,-121.9371
MAL,Sacramento River at Mallard Island,38.04280472,-121.9200897
MRZ,Suisun Bay at Bulls Head Point near Martinez,38.02763748,-122.1404877
MSD,San Joaquin River at Mossdale Bridge,37.786,-121.306
PPT,San Joaquin River at Prisoners Point,38.058505,-121.55681
RRI,San Joaquin River at Rough & Ready Island,37.963,-121.365
RVB,Sacramento River at Rio Vista Bridge,38.159737,-121.686355
RYC,Suisun Bay off Middle Point near Nichols,38.083971,-121.995878
SJR,San Joaquin River near Vernalis,37.67929,-121.26511
SRH,Sacramento River at Hood,38.36798096,-121.5199585
SSI,Sacramento River near Sherman Island,38.074097,-121.761736
TWI,San Joaquin River at Twitchell Island,38.0969,-121.6691
